frame,tracker_id,class_name,x_canon,y_canon,jugador,velocidad_10a,distancia_pelota_10a
311,2,robot,88.875,75.875,10a,0.0,38.895091271264555
312,2,robot,88.875,75.75,10a,0.25,39.02423125443985
313,2,robot,88.875,75.75,10a,0.25,39.02423125443985
314,2,robot,88.875,75.75,10a,0.25,39.02423125443985
315,2,robot,88.875,75.75,10a,0.25,38.895091271264555
316,2,robot,88.875,75.875,10a,0.0,39.02002690926801
317,2,robot,88.875,75.875,10a,0.0,39.399000621843186
318,2,robot,88.875,75.875,10a,0.0,38.15449678609325
319,2,robot,88.875,75.875,10a,0.0,37.64181517939856
320,2,robot,88.75,75.75,10a,0.25,36.15115834935307
321,2,robot,88.875,75.875,10a,0.0,33.40869086031358
322,2,robot,88.75,75.875,10a,0.25,26.25476147292144
323,2,robot,88.875,75.75,10a,0.25,20.00156243896961
324,2,robot,88.875,75.875,10a,0.25,14.294338914409439
325,2,robot,88.5,76.25,10a,1.25,13.0862523283024
326,2,robot,88.375,77.0,10a,2.462214450449026,21.571103356110463
327,2,robot,88.125,77.5,10a,3.8078865529319548,30.587221596607954
328,2,robot,88.0,78.625,10a,6.010407640085654,40.65902421357404
329,2,robot,87.875,79.625,10a,8.00390529679106,50.34955933272902
330,2,robot,88.0,80.75,10a,10.151970252123476,59.277551611044125
331,2,robot,87.75,81.75,10a,11.963486114005399,68.11754546370561
332,2,robot,87.625,83.625,10a,15.700318468107582,
333,2,robot,87.75,85.375,10a,19.132759863647482,
334,2,robot,88.125,86.875,10a,22.051077071199945,
335,2,robot,88.5,88.375,10a,25.254950009849555,
336,2,robot,89.0,90.125,10a,28.501096470136023,
337,2,robot,89.5,92.25,10a,32.78433314862451,
338,2,robot,90.375,93.75,10a,36.124783736376884,
339,2,robot,90.875,95.25,10a,38.95590455887272,
340,2,robot,91.5,96.875,10a,41.68407969477076,
341,2,robot,92.125,99.0,10a,44.63462781294362,
342,2,robot,92.75,100.375,10a,46.67574316494596,
343,2,robot,93.125,101.875,10a,47.61630498054212,
344,2,robot,93.25,103.625,10a,49.18904857791011,
345,2,robot,93.125,105.875,10a,51.2847443203142,
346,2,robot,93.0,107.75,10a,53.049505181481194,
347,2,robot,92.625,109.625,10a,52.952809179494906,
348,2,robot,92.25,112.5,10a,54.99147661228965,
349,2,robot,92.0,114.875,10a,56.533728870471656,
350,2,robot,91.875,117.5,10a,58.63979024519102,
351,2,robot,91.75,120.0,10a,60.00260411015509,
352,2,robot,91.75,122.5,10a,60.66712454039668,
353,2,robot,91.625,125.25,10a,63.04958366238432,
354,2,robot,91.375,127.0,10a,63.50787352761861,
362,5,robot,90.5,146.25,10a,67.34335301459183,
363,5,robot,90.25,148.375,10a,67.37807514563309,
364,5,robot,89.875,151.25,10a,69.48568621552913,
365,5,robot,89.625,153.5,10a,70.55932915486885,
366,5,robot,89.25,156.0,10a,71.62843983778399,
367,5,robot,89.0,158.5,10a,71.98148328528951,
368,5,robot,88.75,161.125,10a,73.01445872463371,
369,5,robot,88.375,163.375,10a,73.52422016188422,
370,5,robot,87.875,166.375,10a,73.70774633533921,
371,5,robot,87.75,168.25,10a,73.01445872463371,
372,5,robot,87.125,171.25,10a,73.58110300211777,
373,5,robot,86.875,173.875,10a,73.76606317573332,
374,5,robot,86.5,176.0,10a,73.30496767016521,
375,5,robot,86.375,178.375,10a,72.79606565321218,
376,5,robot,86.125,181.25,10a,74.32287307962415,
377,5,robot,85.875,184.0,10a,76.06452852677127,
378,5,robot,85.625,186.125,10a,76.06452852677127,
379,5,robot,85.5,188.5,10a,75.0120823601105,
380,5,robot,85.125,190.75,10a,75.04165509901817,
381,5,robot,84.625,193.75,10a,76.06452852677127,
382,5,robot,84.25,195.5,10a,74.60730527233912,
383,5,robot,83.875,196.75,10a,71.91401115220872,
384,5,robot,83.5,198.125,10a,70.18057067308587,
385,5,robot,82.625,200.5,10a,69.05296879932101,
386,5,robot,82.0,202.375,10a,69.21208348258273,
387,5,robot,81.375,204.0,10a,66.50187967268293,
388,5,robot,81.125,204.375,10a,62.07455195166534,
389,5,robot,81.0,204.0,10a,57.0701322935211,
390,5,robot,81.0,203.375,10a,51.14257033040088,
391,5,robot,81.5,202.375,10a,43.25072253731722,
392,5,robot,81.75,201.25,10a,35.472700771156404,
393,5,robot,82.125,199.75,10a,28.13472054241876,
394,5,robot,82.375,198.5,10a,20.953818267800262,
395,5,robot,82.625,197.875,10a,15.101738310538956,
396,5,robot,82.75,197.625,10a,8.609587678861281,
397,5,robot,82.75,197.5,10a,5.0,
398,5,robot,82.625,197.625,10a,3.0516389039334255,
399,5,robot,82.375,198.0,10a,2.2638462845343543,
400,5,robot,82.375,198.25,10a,4.527692569068709,
401,5,robot,82.375,198.375,10a,8.035079339994098,
402,5,robot,82.375,198.25,10a,11.672617529928752,
403,5,robot,82.125,198.375,10a,12.165525060596439,
404,5,robot,81.625,199.125,10a,9.82980162566875,
405,5,robot,80.875,200.25,10a,6.254998001598402,
406,5,robot,80.0,201.375,10a,3.605551275463989,
407,5,robot,79.0,202.625,10a,6.149186938124422,
408,5,robot,78.0,204.25,10a,12.20911544707478,
409,5,robot,76.875,205.75,10a,18.200274723201296,
410,5,robot,76.0,206.875,10a,22.350894836672648,
411,5,robot,75.5,207.125,10a,23.90083680543424,
412,5,robot,75.25,206.625,10a,23.62334650298302,
413,5,robot,75.0,205.75,10a,22.28508469806655,
414,5,robot,74.375,204.625,10a,20.774082410542228,
415,5,robot,74.0,203.125,10a,19.381047443314305,
416,5,robot,73.5,202.0,10a,19.17354948881401,
417,5,robot,73.25,200.625,10a,18.85802216564611,
418,5,robot,73.125,199.0,10a,18.04335057576613,
419,5,robot,73.0,197.75,10a,17.467827569563422,
420,5,robot,73.0,197.25,10a,16.854153790683174,
421,5,robot,73.125,197.25,10a,16.035117710824576,
422,5,robot,73.125,197.75,10a,15.268431484602468,
423,5,robot,73.125,198.375,10a,15.268431484602468,
424,5,robot,73.0,199.125,10a,15.35008143300875,
425,5,robot,73.0,199.25,10a,16.387876616572385,
426,5,robot,72.875,199.375,10a,16.36497784905314,
427,5,robot,72.875,199.375,10a,15.258194519667128,
428,5,robot,73.0,199.75,10a,12.649110640673518,
429,5,robot,72.875,200.125,10a,9.486832980505138,
430,5,robot,72.75,201.0,10a,4.930770730829005,
431,5,robot,72.375,202.125,10a,2.2638462845343543,
432,2,robot,91.25,47.75,10a,307.8620835698998,
432,5,robot,72.0,203.875,10a,10.720980051530091,
433,2,robot,90.875,47.5,10a,324.23473728102283,
433,5,robot,71.5,205.375,10a,19.06684946499316,
434,5,robot,71.125,206.75,10a,22.403639814170308,
435,5,robot,70.875,207.125,10a,22.248969459546533,
436,5,robot,70.875,206.5,10a,19.45565622567375,
437,5,robot,70.875,205.75,10a,16.05567698085663,
