frame,tracker_id,class_name,x_canon,y_canon,num_detecciones,area_pixeles
278,-1.0,orange ball,91.625,121.0,1,582.5
279,-1.0,orange ball,91.625,121.0,1,578.5
280,-1.0,orange ball,91.625,121.0,1,578.5
281,-1.0,orange ball,91.625,121.0,1,579.5
282,-1.0,orange ball,91.625,121.0,1,573.5
283,-1.0,orange ball,91.625,120.875,1,571.0
284,-1.0,orange ball,91.625,120.875,1,574.0
285,-1.0,orange ball,91.625,121.0,1,570.5
286,-1.0,orange ball,91.625,121.0,1,569.5
287,-1.0,orange ball,91.625,121.0,1,570.5
288,-1.0,orange ball,91.625,121.0,1,568.0
289,-1.0,orange ball,91.625,121.0,1,567.5
290,-1.0,orange ball,91.625,121.0,1,570.5
291,-1.0,orange ball,91.625,121.0,1,577.5
292,-1.0,orange ball,91.625,121.0,1,576.5
293,-1.0,orange ball,91.625,121.0,1,573.5
294,-1.0,orange ball,91.625,121.0,1,578.0
295,-1.0,orange ball,91.625,121.0,1,573.5
296,-1.0,orange ball,91.625,121.0,1,579.0
297,-1.0,orange ball,91.625,121.0,1,579.0
298,-1.0,orange ball,91.625,121.0,1,579.0
299,-1.0,orange ball,91.625,121.0,1,579.0
300,-1.0,orange ball,91.625,121.0,1,579.0
301,-1.0,orange ball,91.625,121.0,1,577.0
302,-1.0,orange ball,91.625,121.0,1,574.0
303,-1.0,orange ball,91.625,121.0,1,576.0
304,-1.0,orange ball,91.625,121.0,1,577.5
305,-1.0,orange ball,91.625,121.0,1,574.5
306,-1.0,orange ball,91.625,121.0,1,579.0
307,-1.0,orange ball,91.625,121.0,1,579.0
308,-1.0,orange ball,91.625,121.0,1,575.0
309,-1.0,orange ball,91.625,120.875,1,564.0
310,-1.0,orange ball,91.625,121.0,1,576.5
311,-1.0,orange ball,91.625,121.0,1,579.5
312,-1.0,orange ball,91.625,121.0,1,574.5
313,-1.0,orange ball,91.625,121.0,1,579.5
314,-1.0,orange ball,91.625,121.0,1,575.0
315,-1.0,orange ball,91.625,121.0,1,564.0
316,-1.0,orange ball,91.625,121.0,1,566.5
317,-1.0,orange ball,91.625,121.0,1,575.5
318,-1.0,orange ball,91.625,121.0,1,570.5
319,-1.0,orange ball,91.625,121.0,1,573.5
320,-1.0,orange ball,91.625,121.0,1,575.5
321,-1.0,orange ball,91.625,121.0,1,573.5
322,-1.0,orange ball,91.625,121.0,1,574.5
323,-1.0,orange ball,91.625,121.0,1,574.5
324,-1.0,orange ball,91.625,121.0,1,575.5
325,-1.0,orange ball,91.625,121.0,1,579.5
326,-1.0,orange ball,91.625,121.0,1,574.0
327,-1.0,orange ball,91.625,121.0,1,576.0
328,-1.0,orange ball,91.625,121.0,1,575.0
329,-1.0,orange ball,91.625,121.0,1,581.5
330,-1.0,orange ball,91.625,121.0,1,583.5
331,-1.0,orange ball,91.625,121.0,1,585.5
332,-1.0,orange ball,91.625,121.0,1,585.0
333,-1.0,orange ball,91.625,121.0,1,577.5
334,-1.0,orange ball,91.625,121.0,1,581.5
335,-1.0,orange ball,91.625,121.0,1,574.0
336,-1.0,orange ball,91.625,121.0,1,576.5
337,-1.0,orange ball,91.625,121.0,1,574.0
338,-1.0,orange ball,91.625,121.0,1,570.5
339,-1.0,orange ball,91.625,121.0,1,568.5
340,-1.0,orange ball,91.625,121.0,1,565.5
341,-1.0,orange ball,59.875,258.0,2,165.5
341,-1.0,orange ball,91.625,120.875,2,523.0
342,-1.0,orange ball,59.375,259.875,2,80.5
342,-1.0,orange ball,91.625,120.875,2,557.0
343,-1.0,orange ball,59.5,259.75,2,70.0
343,-1.0,orange ball,91.625,120.875,2,550.5
344,-1.0,orange ball,91.625,120.875,1,545.0
345,-1.0,orange ball,91.625,120.875,1,550.0
346,-1.0,orange ball,59.75,260.25,3,83.5
346,-1.0,orange ball,43.375,252.875,3,129.5
346,-1.0,orange ball,91.625,120.875,3,539.0
347,-1.0,orange ball,59.875,260.375,3,104.5
347,-1.0,orange ball,43.375,252.5,3,106.0
