frame,tracker_id,class_name,x_canon,y_canon,jugador,velocidad_17b,distancia_pelota_17b
38,1,robot,86.5,163.375,17b,1.118033988749895,
39,1,robot,86.625,163.0,17b,0.25,
40,1,robot,86.75,163.125,17b,0.0,
41,1,robot,87.0,163.0,17b,0.9013878188659973,
42,1,robot,87.125,163.0,17b,1.25,
43,1,robot,87.375,163.0,17b,1.2747548783981961,91.81341473336018
44,1,robot,87.625,163.125,17b,2.0155644370746373,85.58447946327652
45,1,robot,87.875,163.125,17b,2.5495097567963922,
46,1,robot,88.125,163.125,17b,3.092329219213245,75.63532987301636
47,1,robot,88.25,163.0,17b,3.400367627183861,54.57219988235769
48,1,robot,88.375,163.25,17b,3.7583240945932266,40.529695903127624
49,1,robot,88.5,163.25,17b,4.0,32.49278766126415
50,1,robot,88.5,163.125,17b,4.2793106921559225,25.021553209183477
51,1,robot,88.625,163.375,17b,4.5,19.2065255837697
52,1,robot,88.625,163.625,17b,4.315669125408017,15.61349576488238
53,1,robot,88.625,163.75,17b,4.315669125408017,15.044205695217013
54,1,robot,88.5,163.75,17b,4.038873605350878,15.167811312117513
55,1,robot,88.5,164.0,17b,3.913118960624632,15.612995388457655
56,1,robot,88.375,164.125,17b,3.553167600887974,15.350081433008752
57,1,robot,88.25,164.25,17b,3.3634060117684275,15.101738310538956
58,1,robot,88.25,164.125,17b,2.850438562747845,14.96349725164542
59,1,robot,88.125,164.375,17b,2.692582403567252,14.853450777512949
60,1,robot,88.0,164.25,17b,2.2638462845343543,14.950438956766453
61,1,robot,88.0,164.125,17b,2.0155644370746373,15.460635497934748
62,1,robot,88.0,164.0,17b,2.0615528128088303,15.945708670360185
63,1,robot,88.0,164.0,17b,1.6770509831248424,16.070158679988197
64,1,robot,88.0,163.75,17b,1.4142135623730951,16.082307825682232
65,1,robot,88.0,163.5,17b,1.25,16.082307825682232
66,1,robot,87.875,163.125,17b,1.5811388300841898,15.82126733229674
67,1,robot,87.625,162.125,17b,3.605551275463989,15.833607453767446
68,1,robot,87.25,161.0,17b,6.149186938124422,15.572411502397436
69,1,robot,87.0,159.75,17b,8.54400374531753,15.809905913698538
70,1,robot,86.5,158.625,17b,11.470069746954461,15.696834872037101
71,1,robot,86.125,157.375,17b,14.230249470757707,15.945708670360185
72,1,robot,86.0,155.25,17b,18.553975315279473,15.945708670360185
73,1,robot,85.875,153.375,17b,22.018458165820785,15.696834872037101
74,1,robot,85.75,151.875,17b,25.447249360196086,15.833607453767446
75,1,robot,86.0,150.5,17b,27.789386463180506,15.709272739372755
76,1,robot,86.5,149.125,17b,30.14962686336267,15.709272739372755
77,1,robot,87.0,147.75,17b,32.56148031032987,15.945708670360185
78,1,robot,87.75,146.625,17b,34.75359693614461,15.945708670360185
79,1,robot,88.625,145.25,17b,37.02110884346929,15.833607453767446
80,1,robot,89.25,144.375,17b,38.33161228020548,15.833607453767446
81,1,robot,90.0,143.125,17b,40.22514760693862,15.945708670360185
82,1,robot,90.625,142.625,17b,39.45883931389772,15.945708670360185
83,1,robot,91.125,141.375,17b,40.00781173720952,15.833607453767446
84,1,robot,91.375,141.5,17b,37.534151116017,15.945708670360185
85,1,robot,91.375,141.5,17b,35.61074276113881,15.82126733229674
86,1,robot,91.375,141.375,17b,33.67862823809782,15.945708670360185
87,1,robot,91.375,141.125,17b,30.22623033062509,15.945708670360185
88,1,robot,91.375,141.375,17b,26.40075756488817,15.945708670360185
89,1,robot,91.375,141.375,17b,23.823570261402885,15.945708670360185
90,1,robot,91.375,141.25,17b,21.39655346077961,15.696834872037101
91,1,robot,91.375,141.0,17b,18.950593658247225,15.82126733229674
92,1,robot,91.375,140.5,17b,16.93553955443995,15.82126733229674
93,1,robot,91.25,140.125,17b,14.7648230602334,15.696834872037101
94,1,robot,91.125,139.875,17b,11.855905701379376,15.82126733229674
95,1,robot,91.125,139.375,17b,10.680004681646913,15.82126733229674
96,1,robot,90.875,139.125,17b,8.1891696770796,15.696834872037101
97,1,robot,90.875,139.0,17b,7.267220926874317,15.696834872037101
98,1,robot,90.75,139.25,17b,4.315669125408017,15.696834872037101
99,1,robot,90.75,139.125,17b,4.911720676097125,15.945708670360185
100,1,robot,90.75,139.25,17b,4.670385423067351,15.809905913698538
101,1,robot,90.75,139.25,17b,4.430011286667337,15.82126733229674
102,1,robot,90.75,139.25,17b,3.9528470752104745,15.696834872037101
103,1,robot,90.75,139.25,17b,4.430011286667337,15.945708670360185
